Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
wdm,io.github.bonigarcia.wdm.docker,DockerContainer.DockerBuilder,Global State,The tool detected the smell in this class because the class can be accessed as a `global` state.
wdm,io.github.bonigarcia.wdm.docker,DockerHost,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: DEFAULT_ADDRESS
wdm,io.github.bonigarcia.wdm.docker,DockerService,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: NETWORK_HOST
wdm,io.github.bonigarcia.wdm.docker,DockerService,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 8
wdm,io.github.bonigarcia.wdm.online,UrlHandler,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: ALPHA; BETA
wdm,io.github.bonigarcia.wdm,WebDriverManager,Excessive Dependency,The tool detected the smell in this class because the class depends on too many dependencies. The total number of dependencies is: 16
wdm,io.github.bonigarcia.wdm,WebDriverManager,Law of Demeter violation,The tool detected the smell in this method (resolveLocal) because the method voilates the law of Demeter. The long chain of method invocations is : io.github.bonigarcia.wdm.WebDriverManager.avoidResolutionCache; io.github.bonigarcia.wdm.WebDriverManager.forceDownload; io.github.bonigarcia.wdm.WebDriverManager.cachePath; io.github.bonigarcia.wdm.WebDriverManager.avoidExport
wdm,io.github.bonigarcia.wdm,WebDriverManager,Law of Demeter violation,The tool detected the smell in this method (resolveLocal) because the method voilates the law of Demeter. The long chain of method invocations is : io.github.bonigarcia.wdm.WebDriverManager.setup; io.github.bonigarcia.wdm.WebDriverManager.avoidOutputTree
wdm,io.github.bonigarcia.wdm,WebDriverManager,Law of Demeter violation,The tool detected the smell in this method (runInDocker) because the method voilates the law of Demeter. The long chain of method invocations is : io.github.bonigarcia.wdm.WebDriverManager.chromedriver; io.github.bonigarcia.wdm.WebDriverManager.browserInDockerAndroid
wdm,io.github.bonigarcia.wdm,WebDriverManager,Law of Demeter violation,The tool detected the smell in this method (runInDocker) because the method voilates the law of Demeter. The long chain of method invocations is : io.github.bonigarcia.wdm.WebDriverManager.create; io.github.bonigarcia.wdm.WebDriverManager.avoidResolutionCache; io.github.bonigarcia.wdm.WebDriverManager.enableVnc
