Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
wdm,io.github.bonigarcia.wdm.cache,CacheHandler,2,0,4,4,50,9,0,0,0.0,1,3,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\cache\CacheHandler.java,41
wdm,io.github.bonigarcia.wdm.cache,ResolutionCache,8,0,13,7,120,22,0,0,0.15384615384615385,2,1,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\cache\ResolutionCache.java,40
wdm,io.github.bonigarcia.wdm.config,Architecture,1,0,0,0,28,0,0,0,-1.0,6,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\config\Architecture.java,28
wdm,io.github.bonigarcia.wdm.config,Config,109,0,227,218,1065,261,0,0,0.43171806167400884,14,5,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\config\Config.java,47
wdm,io.github.bonigarcia.wdm.config,ConfigKey,4,0,8,8,39,8,0,0,0.0,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\config\ConfigKey.java,19
wdm,io.github.bonigarcia.wdm.config,DriverManagerType,1,0,0,0,0,0,0,0,-1.0,5,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\config\DriverManagerType.java,21
wdm,io.github.bonigarcia.wdm.config,OperatingSystem,1,0,0,0,28,0,0,0,-1.0,6,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\config\OperatingSystem.java,26
wdm,io.github.bonigarcia.wdm.config,WebDriverManagerException,1,0,3,3,17,3,0,0,1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\config\WebDriverManagerException.java,19
wdm,io.github.bonigarcia.wdm.docker,DockerContainer,33,0,32,31,199,32,0,0,0.3125,3,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerContainer.java,32
wdm,io.github.bonigarcia.wdm.docker,DockerContainer.DockerBuilder,12,0,0,0,64,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerContainer.java,203
wdm,io.github.bonigarcia.wdm.docker,DockerHost,12,1,20,19,124,25,0,0,0.15,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerHost.java,31
wdm,io.github.bonigarcia.wdm.docker,DockerHubService,4,0,2,2,40,3,0,0,0.0,1,3,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerHubService.java,39
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags,21,0,1,1,38,1,0,0,0.0,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerHubTags.java,23
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags.DockerHubTag,10,0,0,0,15,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerHubTags.java,40
wdm,io.github.bonigarcia.wdm.docker,DockerHubTags.Image,7,0,0,0,9,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerHubTags.java,68
wdm,io.github.bonigarcia.wdm.docker,DockerService,15,1,35,29,0,82,0,0,0.08571428571428572,1,8,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\docker\DockerService.java,78
wdm,io.github.bonigarcia.wdm.managers,ChromeDriverManager,1,0,19,3,129,25,1,0,0.8947368421052632,0,6,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\ChromeDriverManager.java,51
wdm,io.github.bonigarcia.wdm.managers,ChromiumDriverManager,0,0,6,1,30,7,0,1,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\ChromiumDriverManager.java,29
wdm,io.github.bonigarcia.wdm.managers,EdgeDriverManager,1,0,21,2,0,29,0,0,0.8571428571428571,0,3,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\EdgeDriverManager.java,48
wdm,io.github.bonigarcia.wdm.managers,FirefoxDriverManager,0,0,17,2,99,24,0,0,-1.0,0,3,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\FirefoxDriverManager.java,39
wdm,io.github.bonigarcia.wdm.managers,InternetExplorerDriverManager,0,0,18,3,65,18,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\InternetExplorerDriverManager.java,39
wdm,io.github.bonigarcia.wdm.managers,OperaDriverManager,2,0,17,2,141,28,0,0,0.7647058823529411,0,2,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\OperaDriverManager.java,41
wdm,io.github.bonigarcia.wdm.managers,SafariDriverManager,1,0,6,1,26,6,0,1,1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\SafariDriverManager.java,29
wdm,io.github.bonigarcia.wdm.managers,VoidDriverManager,0,0,14,2,46,14,1,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\managers\VoidDriverManager.java,30
wdm,io.github.bonigarcia.wdm.online,Downloader,4,0,12,6,211,43,0,0,0.0,0,3,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\Downloader.java,63
wdm,io.github.bonigarcia.wdm.online,GeckodriverSupport,4,4,0,0,13,0,0,0,-1.0,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GeckodriverSupport.java,23
wdm,io.github.bonigarcia.wdm.online,GeckodriverSupport.GeckodriverRelease,3,3,0,0,5,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GeckodriverSupport.java,35
wdm,io.github.bonigarcia.wdm.online,GitHubApi,2,0,2,2,15,2,0,0,1.0,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GitHubApi.java,24
wdm,io.github.bonigarcia.wdm.online,GoodVersions,9,9,0,0,22,0,0,0,-1.0,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GoodVersions.java,21
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Versions,3,3,0,0,5,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GoodVersions.java,33
wdm,io.github.bonigarcia.wdm.online,GoodVersions.Downloads,2,2,0,0,4,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GoodVersions.java,39
wdm,io.github.bonigarcia.wdm.online,GoodVersions.PlatformUrl,2,2,0,0,4,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\GoodVersions.java,44
wdm,io.github.bonigarcia.wdm.online,HttpClient,3,0,11,6,148,21,0,0,0.36363636363636365,5,1,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\HttpClient.java,77
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions,10,10,0,0,21,0,0,0,-1.0,2,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\LastGoodVersions.java,23
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions.Channels,4,4,0,0,6,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\LastGoodVersions.java,35
wdm,io.github.bonigarcia.wdm.online,LastGoodVersions.Channel,4,4,0,0,6,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\LastGoodVersions.java,49
wdm,io.github.bonigarcia.wdm.online,NpmMirror,7,0,14,14,56,14,0,0,0.5,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\NpmMirror.java,5
wdm,io.github.bonigarcia.wdm.online,Parser,1,0,2,1,24,2,0,0,1.0,4,1,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\Parser.java,37
wdm,io.github.bonigarcia.wdm.online,S3NamespaceContext,2,0,3,3,29,6,0,0,0.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\S3NamespaceContext.java,26
wdm,io.github.bonigarcia.wdm.online,UrlHandler,8,2,17,17,181,40,0,0,0.11764705882352941,0,4,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\UrlHandler.java,48
wdm,io.github.bonigarcia.wdm.online,UrlHandlerConfig,5,0,11,11,44,11,0,0,0.0,1,1,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\online\UrlHandlerConfig.java,10
wdm,io.github.bonigarcia.wdm.versions,Shell,1,0,7,6,48,10,0,0,0.42857142857142855,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\versions\Shell.java,30
wdm,io.github.bonigarcia.wdm.versions,UrlComparator,0,0,1,1,10,1,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\versions\UrlComparator.java,22
wdm,io.github.bonigarcia.wdm.versions,VersionComparator,1,0,1,1,29,4,0,0,0.0,1,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\versions\VersionComparator.java,28
wdm,io.github.bonigarcia.wdm.versions,VersionDetector,11,0,23,9,0,62,0,0,0.0,3,6,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\versions\VersionDetector.java,69
wdm,io.github.bonigarcia.wdm,WdmAgent,1,0,2,1,0,2,0,0,1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WdmAgent.java,36
wdm,io.github.bonigarcia.wdm,WdmAgent.DefineTransformer,0,0,0,0,0,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WdmAgent.java,55
wdm,io.github.bonigarcia.wdm,WdmServer,14,0,9,2,0,25,0,0,0.0,0,2,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WdmServer.java,64
wdm,io.github.bonigarcia.wdm,WdmServer.Session,1,0,0,0,6,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WdmServer.java,313
wdm,io.github.bonigarcia.wdm,WdmServer.Capabilities,1,0,0,0,6,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WdmServer.java,321
wdm,io.github.bonigarcia.wdm,WdmServer.FirstMatch,2,0,0,0,10,0,0,0,-1.0,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WdmServer.java,329
wdm,io.github.bonigarcia.wdm,WebDriverManager,32,0,202,129,0,337,0,0,0.04455445544554455,1,11,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\WebDriverManager.java,149
wdm,io.github.bonigarcia.wdm.webdriver,OptionsWithArguments,3,0,4,4,29,4,0,0,0.5,0,0,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\webdriver\OptionsWithArguments.java,29
wdm,io.github.bonigarcia.wdm.webdriver,WebDriverBrowser,9,0,26,25,103,26,0,0,0.23076923076923078,1,1,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\webdriver\WebDriverBrowser.java,35
wdm,io.github.bonigarcia.wdm.webdriver,WebDriverCreator,3,0,4,4,65,8,0,0,0.5,1,1,C:\Users\Aditya\A3_3130\webdrivermanager\src\main\java\io\github\bonigarcia\wdm\webdriver\WebDriverCreator.java,35
